3533,3421
3421,3418
3418,3416
3416,3414
3414,3410
3410,3312
3312,3216
3216,3022
3022,3023
3023,2941
2941,2936
2936,2927
2927,3015
3015,3011
3011,3009
3009,2919
2919,2800
2800,2640
2640,2638
2638,2635
2635,2442
2442,2439
2439,2376
2376,2373
2373,2303
2303,2227
2227,2225
2225,2151
2151,2072
2072,1999
1999,1923
1923,1841
1841,1919
1919,1838
1838,1836
1836,1681
1681,1678
1678,1599
1599,1423
1423,1419
1419,1295
1295,1127
1127,1208
1208,1121
1121,1042
1042,953
953,867
867,823
823,776
776,729
729,686
3533,3420
3420,3320
3320,3229
3229,3133
3133,3033
3033,2955
2955,2852
2852,2704
2704,2700
2700,2479
2479,2696
2696,2690
2690,2691
2691,2676
2676,2677
2677,2678
2678,2679
2679,2455
2455,2464
2464,2465
2465,2697
2697,2476
2476,2394
2394,2391
2391,2320
2320,2244
2244,2168
2168,2088
2088,2086
2086,2013
2013,1938
1938,1859
1859,1777
1777,1703
1703,1622
1622,1538
1538,1443
1443,1319
1319,1232
1232,1148
1148,1064
1064,978
978,934
934,889
889,845
845,800
800,744
744,702
702,661
661,623
623,583
583,506
506,505
505,465
465,422
422,379
379,332
332,279
279,175
175,177
177,132
132,63
63,64
64,27
27,28
28,29
3533,3670
3670,3802
3802,3938
3938,4097
4097,4286
4286,4287
4287,4288
4288,4279
4279,4270
4270,4271
4271,4256
4256,4076
4076,4066
4066,4249
4249,4469
4469,4467
4467,4465
4465,4754
4754,4752
4752,4750
4750,4748
4748,4746
4746,4745
4745,4744
4744,4743
4743,4741
4741,4739
4739,4737
4737,4446
4446,4445
4445,4444
4444,4442
4442,4197
4197,4196
4196,4195
4195,4192
4192,4191
4191,4189
2691,2468
2468,2483
2483,2498
2498,2512
2512,2528
2528,2527
2527,2396
2396,2322
2322,2245
2245,2174
2174,2097
2097,2025
2025,1950
1950,1873
1873,1790
1790,1714
1714,1635
1635,1547
1547,1456
1456,1332
1332,1246
1246,1161
1161,1077
1077,996
996,998
998,949
949,905
905,854
854,813
813,764
764,763
763,718
718,677
677,640
640,597
597,565
565,524
524,487
487,486
486,448
448,451
451,453
453,408
408,413
413,369
369,322
322,269
269,221
221,220
220,169
169,128
128,127
127,87
4271,4484
4484,4485
4485,4492
4492,4289
4289,4503
4503,4504
4504,4515
4515,4530
4530,4311
4311,4505
4505,4304
4304,4295
4295,4487
4487,4768
4768,4869
4869,4948
4948,4994
4994,5040
5040,5090
5090,5151
5151,5147
5147,5211
5211,5208
5208,5279
5279,5364
5364,5361
5361,5358
5358,5356
5356,5462
5462,5458
5458,5549
5549,5547
5547,5630
5630,5628
5628,5627
5627,5625
5625,5541
5541,5434
5434,5431
5431,5354
5354,5428
5428,5532
5532,5530
5530,5608
5608,5606
5606,5604
5604,5522
5522,5520
5520,5518
5518,5412
5412,5328
4530,4531
4531,4547
4547,4564
4564,4321
4321,4107
4107,4327
4327,4330
4330,4335
4335,4642
4642,4783
4783,4884
4884,4963
4963,5009
5009,5054
5054,5107
5107,5162
5162,5228
5228,5299
5299,5381
5381,5490
5490,5576
5576,5662
5662,5743
5743,5829
5829,5861
5861,5895
5895,5925
5925,5951
5951,5986
5986,6011
6011,6036
6036,6039
6039,6065
6065,6106
6106,6117
6117,6127
6127,6145
6145,6159
6159,6173
6173,6187
6187,6203
6203,6220
6220,6238
6238,6259
6259,6276
6276,6291
6291,6289
3533,3424
3424,3325
3325,3237
3237,3139
3139,3051
3051,3053
3053,2965
2965,2870
2870,2872
2872,2875
2875,2879
2879,2771
2771,2886
2886,2980
2980,2985
2985,2986
2986,2987
2987,2988
2988,2989
2989,3086
3086,3164
3164,3262
3262,3274
3274,3366
3366,3369
3369,3371
3371,3372
3372,3374
3374,3483
3483,3486
3486,3487
3487,3607
3607,3610
3610,3611
3611,3613
3613,3736
3736,3869
3869,3870
3870,3998
3998,4161
4161,4399
4399,4404
4404,4696
4696,4701
4701,4799
4799,4897
4897,4975
4975,5022
5022,5023
5023,5069
5069,5123
5123,5125
5125,5241
5241,5310
5310,5313
5313,5395
5395,5394
5394,5317
5317,5399
5399,5503
5503,5674
5674,5752
5752,5678
5678,5840
5840,5871
5871,5902
5902,5930
5930,5957
5957,5961
5961,5994
5994,6021
6021,6049
6049,6052
2771,2609
2609,2414
2414,2344
2344,2267
2267,2190
2190,2118
2118,2040
2040,1966
1966,1887
1887,1808
1808,1730
1730,1732
1732,1651
1651,1565
1565,1472
1472,1348
1348,1350
1350,1260
1260,1262
1262,1264
1264,1266
1266,1268
1268,1380
1380,1385
1385,1390
1390,1395
1395,1399
1399,1401
1401,1485
1485,1489
1489,1494
1494,1571
1571,1576
1576,1654
1654,1656
1656,1733
1733,1735
1735,1663
1663,1812
1812,1892
1892,1971
1971,1970
1970,1898
1898,2045
2045,1977
1977,1980
1980,2129
2129,2052
2052,2132
